Timestamp,What is your age group?,What is your gender?,What is your current occupation or professional status?,How many hours do you spend online daily ?,Which social media platforms do you use regularly? Select all that apply.,Have you ever clicked on a suspicious or unknown link while browsing or using social media?,I usually trust people I interact with online,I click on links before verifying their source,"Do you tend to share personal information online quickly when prompted, without much thought?",Have you heard of “social engineering” or "phising" as a cyber threat?,Which of the following do you recognize as social engineering tactics? Select all that apply.,"Do you regularly share personal details e.g., birthday, location, phone number on social media profiles?",Do you review and adjust privacy settings on your social media accounts?,Have you ever used public Wi-Fi networks for accessing your personal or academic accounts?,"Have you ever received suspicious emails, messages, or calls asking for your personal or financial information?",Have you ever been a victim of an online scam or identity theft?,"If yes, what type of scam did you experience?","If someone claiming to be university staff asks for your login credentials via email or social media, what would you do?","If you receive a message offering a prize or gift but requires personal information, how would you respond?",Do you use unique passwords for different online accounts?,Do you enable two-factor authentication 2FA on your important accounts?,How frequently do you update your passwords?,Do you consent to your anonymized responses being used for academic research purposes?,,,,,,,,,,,,
6/19/2025 22:03,18–24     ,Male ,Student ,2–4 hours ,"Facebook , Instagram , WhatsApp , Telegram ",Yes ,Agree ,Neutral ,Never  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Rarely ,Occasionally  ,Occasionally  ,Yes ,Yes ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Sometimes  ,I don’t know what 2FA is  2FA   ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/19/2025 22:05,18–24     ,Male ,Student ,5–8 hours ,"Facebook , Instagram , TikTok , WhatsApp , Telegram , Other Please Specify",Yes ,Disagree ,Agree ,Sometimes  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Rarely ,Rarely ,"Yes, frequently , ",Yes ,No ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Rarely ,I don’t know what 2FA is  2FA   ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/19/2025 22:23,18–24     ,Female ,Student ,5–8 hours ,"Facebook , Instagram , WhatsApp , Telegram ",Maybe ,Disagree ,Agree ,Sometimes  ,Yes ,"Phishing emails requesting personal info     , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Sometimes  ,Occasionally  ,"Yes, frequently , ",No ,No ,Other please specify     ,Ignore or delete the message     ,Ignore or delete the message     ,Often ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/19/2025 22:59,18–24     ,Male ,Student ,Less than 2 hours   ,"Twitter / X  / , WhatsApp , Telegram ",Yes ,Strongly Disagree  ,Strongly Disagree  ,Sometimes  ,Yes ,Fake social media profiles/friend requests     ,"Yes, always , ","Yes, regularly , ","Yes, frequently , ",Yes ,Yes ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Always ,No ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/19/2025 23:03,25–34     ,Male ,Student ,2–4 hours ,Facebook ,Yes ,Disagree ,Neutral ,"Yes, frequently , ",Yes ,Fake social media profiles/friend requests     ,"Yes, always , ",Occasionally  ,Occasionally  ,No ,No ,Fraudulent phone call or SMS     ,Provide the information immediately     ,Report it to the platform or authorities     ,Sometimes  ,No ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/19/2025 23:05,25–34     ,Male ,Student ,5–8 hours ,"Facebook , LinkedIn , WhatsApp , Telegram ",Yes ,Disagree ,Neutral ,Rarely ,Yes ,Phishing emails requesting personal info     ,Never  ,Occasionally  ,"Yes, frequently , ",No ,No ,,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Rarely ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/19/2025 23:06,18–24     ,Male ,Student ,5–8 hours ,"Facebook , Instagram , Twitter / X  / , WhatsApp , Telegram ",Maybe ,Neutral ,Disagree ,Never  ,Yes ,Malware links in emails or messages     ,"Yes, always , ","Yes, regularly , ",Occasionally  ,Yes ,Yes ,Fake social media profile or friend request       ,Ignore or delete the message     ,Provide the requested information immediately    ,Often ,Yes ,Once a year  ,Yes ,,,,,,,,,,,,
6/19/2025 23:08,18–24     ,Female ,Student ,More than 8 hours   ,"Instagram , WhatsApp ",No ,Disagree ,Disagree ,Sometimes  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Never  ,Occasionally  ,"Yes, frequently , ",No ,No ,,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Often ,Yes ,Once a year  ,,,,,,,,,,,,,
6/19/2025 23:09,18–24     ,Female ,Student ,2–4 hours ,"Facebook , TikTok , WhatsApp , Telegram ",Maybe ,Strongly Disagree  ,Strongly Disagree  ,Rarely ,No ,Fake social media profiles/friend requests     ,Rarely ,Occasionally  ,Never  ,No ,No ,,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Always ,Yes ,Once a year  ,Yes ,,,,,,,,,,,,
6/19/2025 23:12,18–24     ,Female ,Student ,2–4 hours ,Facebook ,No ,Neutral ,Strongly Disagree  ,Never  ,Yes ,Fake social media profiles/friend requests     ,Rarely ,Rarely ,Rarely ,No ,No ,Fake social media profile or friend request       ,Provide the information immediately     ,Ignore or delete the message     ,Always ,No ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
6/19/2025 23:18,25–34     ,Male ,Student ,5–8 hours ,"Facebook , LinkedIn , WhatsApp , Telegram ",Yes ,Neutral ,Neutral ,Never  ,Yes ,Phishing emails requesting personal info     ,Never  ,Occasionally  ,"Yes, frequently , ",Yes ,No ,,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Rarely ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/19/2025 23:21,18–24     ,Female ,Student ,More than 8 hours   ,"Facebook , WhatsApp ",Maybe ,Agree ,Agree ,Rarely ,No ,Phone calls impersonating official staff      ,Rarely ,Rarely ,"Yes, frequently , ",Yes ,Yes ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Rarely ,I don’t know what 2FA is  2FA   ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/19/2025 23:25,18–24     ,Female ,Student ,5–8 hours ,"Facebook , Instagram ",Maybe ,Disagree ,Neutral ,Sometimes  ,Yes ,"Phishing emails requesting personal info     , Fake social media profiles/friend requests     , Malware links in emails or messages     ","Yes, always , ",Occasionally  ,"Yes, frequently , ",No ,No ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Always ,No ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/19/2025 23:29,35–44    ,Male ,Job holder ,2–4 hours ,Facebook ,Maybe ,Agree ,Disagree ,Never  ,No ,None of the above   ,Sometimes  ,Never  ,Occasionally  ,Yes ,No ,,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Often ,I don’t know what 2FA is  2FA   ,Rarely or never    ,No ,,,,,,,,,,,,
6/19/2025 23:31,18–24     ,Female ,Student ,5–8 hours ,"Facebook , Instagram , WhatsApp ",Maybe ,Neutral ,Neutral ,Rarely ,Yes ,None of the above   ,Sometimes  ,Occasionally  ,Rarely ,No ,No ,Other please specify     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/19/2025 23:32,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram ",No ,Neutral ,Neutral ,Never  ,No ,None of the above   ,Sometimes  ,Occasionally  ,Occasionally  ,No ,No ,,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Always ,I don’t know what 2FA is  2FA   ,Once a year  ,Yes ,,,,,,,,,,,,
6/19/2025 23:33,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram , WhatsApp , Telegram ",Yes ,Neutral ,Disagree ,Rarely ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Malware links in emails or messages     ",Rarely ,"Yes, regularly , ",Occasionally  ,Yes ,Yes ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Often ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/19/2025 23:36,18–24     ,Male ,Student ,5–8 hours ,Facebook ,No ,Neutral ,Strongly Disagree  ,Rarely ,Yes ,Malware links in emails or messages     ,Rarely ,Occasionally  ,Occasionally  ,Yes ,No ,,Ignore or delete the message     ,Report it to the platform or authorities     ,Always ,Yes ,Once a year  ,Yes ,,,,,,,,,,,,
6/19/2025 23:43,18–24     ,Male ,Student ,Less than 2 hours   ,"Facebook , Instagram , LinkedIn , WhatsApp , Telegram ",Maybe ,Neutral ,Disagree ,Never  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Never  ,"Yes, regularly , ",Occasionally  ,Yes ,No ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,I don’t know what 2FA is  2FA   ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 0:09,18–24     ,Male ,Student ,2–4 hours ,"Facebook , WhatsApp , Other Please Specify",No ,Neutral ,Strongly Disagree  ,Rarely ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Never  ,"Yes, regularly , ",Occasionally  ,Yes ,Yes ,Other please specify     ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Always ,Yes ,,Yes ,,,,,,,,,,,,
