What is your age group?,What is your gender?,What is your current occupation or professional status?,How many hours do you spend online daily?,Which social media platforms do you use regularly? Select all that apply.,Have you ever clicked on a suspicious or unknown link while browsing or using social media?,I usually trust people I interact with online,I click on links before verifying their source,"Do you tend to share personal information online quickly when prompted, without much thought?",Have you heard of social engineering or phishing as a cyber threat?,Which of the following do you recognize as social engineering tactics? Select all that apply.,"Do you regularly share personal details, e.g., birthday, location, phone number on social media profiles?",Do you review and adjust privacy settings on your social media accounts?,Have you ever used public Wi-Fi networks for accessing your personal or academic accounts?,"Have you ever received suspicious emails, messages, or calls asking for your personal or financial information?",Have you ever been a victim of an online scam or identity theft?,"If yes, what type of scam did you experience?","If someone claiming to be university staff asks for your login credentials via email or social media, what would you do?","If you receive a message offering a prize or gift but requires personal information, how would you respond?",Do you use unique passwords for different online accounts?,Do you enable two-factor authentication 2FA on your important accounts?,How frequently do you update your passwords?,Do you consent to your anonymized responses being used for academic research purposes?
35-50,Male,Unemployed,More than 8 hours,"LinkedIn, Twitter, Facebook",Yes,Disagree,Disagree,No,Yes,None of the above,Yes,No,Yes,Yes,No,N/A,Verify through official university channels first,Report as spam or scam,Yes,Yes,Every 3 months,Yes
18-24,Male,Employed,6-8 hours,"YouTube, Instagram, Facebook",Yes,Strongly Agree,Agree,Yes,Yes,"Pretexting, Baiting",Yes,No,No,Yes,No,N/A,Delete the message and report as phishing,Ignore and delete the message,No,No,Every 3 months,Yes
18-24,Male,Student,4-6 hours,"TikTok, Instagram, Snapchat",No,Disagree,Neutral,No,Yes,All of the above,Yes,No,No,No,No,N/A,Contact the university directly to confirm,Report as spam or scam,Yes,No,Monthly,Yes
25-34,Female,Employed,2-4 hours,"TikTok, Instagram, Snapchat",Yes,Disagree,Strongly Disagree,Yes,Yes,Phishing emails,No,Yes,Yes,No,No,N/A,Ignore and report to university IT department,Ignore and delete the message,Yes,No,Rarely or never,Yes
Less than 18,Female,Employed,2-4 hours,"LinkedIn, Twitter, Facebook",No,Agree,Strongly Agree,No,Yes,"Pretexting, Baiting",Yes,Yes,Yes,Yes,No,N/A,Ignore and report to university IT department,Report as spam or scam,No,Yes,Every 6 months,Yes
25-34,Male,Self-employed,Less than 2 hours,"TikTok, Instagram, Snapchat",No,Disagree,Agree,No,Yes,"Pretexting, Baiting",Yes,No,No,Yes,No,N/A,Delete the message and report as phishing,Block the sender immediately,Yes,No,Every 6 months,Yes
18-24,Female,Student,2-4 hours,"Facebook, WhatsApp, Twitter",No,Agree,Agree,No,Yes,"Phishing emails, Pretexting, Baiting",No,No,Yes,Yes,No,N/A,Contact the university directly to confirm,Ignore and delete the message,Yes,No,Rarely or never,Yes
25-34,Male,Student,6-8 hours,"LinkedIn, Twitter, Facebook",No,Disagree,Disagree,Yes,Yes,None of the above,Yes,Yes,Yes,No,No,N/A,Verify through official university channels first,Ignore and delete the message,No,Yes,Rarely or never,Yes
18-24,Female,Self-employed,2-4 hours,"TikTok, Instagram, Snapchat",Yes,Strongly Agree,Strongly Agree,Yes,Yes,Phishing emails,No,No,Yes,Yes,No,N/A,Contact the university directly to confirm,Report as spam or scam,No,Yes,Rarely or never,Yes
18-24,Male,Student,4-6 hours,"WhatsApp, Facebook, YouTube",Yes,Strongly Agree,Strongly Disagree,Yes,Yes,"Phishing emails, Pretexting",Yes,No,Yes,Yes,Yes,Financial fraud,Ignore and report to university IT department,Verify the legitimacy of the sender first,No,No,Rarely or never,Yes
